0,1,2
0,3,1
0,4,16
0,8,1
0,10,4
0,13,1
0,14,1
0,16,2
0,20,1
0,23,4
0,25,19
0,26,1
0,27,2
0,30,10
0,31,4
0,33,1
0,36,1
0,38,30
0,40,4
0,41,6
0,42,1
0,44,1
0,51,2
0,52,5
0,54,1
0,58,2
0,62,1
0,63,1
0,69,3
0,72,1
0,78,1
0,79,4
0,80,1
0,81,1
0,82,1
0,86,2
0,87,6
0,93,1
0,94,3
0,95,5
0,98,1
0,102,1
0,103,1
0,104,1
0,107,1
0,109,3
0,113,1
0,114,7
0,120,3
0,123,3
0,124,1
0,126,2
0,133,1
0,135,2
0,136,27
0,139,1
0,143,1
0,144,2
0,152,7
0,153,3
0,156,1
0,157,1
0,158,2
0,165,1
0,168,1
0,169,2
0,174,3
0,178,2
0,179,3
0,180,1
0,183,2
0,184,3
0,185,2
0,187,1
0,188,1
0,190,2
0,191,2
0,192,2
0,193,1
0,194,2
0,196,7
0,197,14
1,3,1
1,4,3
1,8,2
1,10,1
1,15,1
1,25,1
1,30,2
1,31,11
1,38,9
1,40,4
1,43,1
1,44,3
1,45,1
1,52,10
1,54,1
1,59,4
1,60,1
1,64,3
1,68,1
1,69,1
1,71,2
1,73,1
1,75,1
1,76,1
1,80,1
1,81,1
1,82,1
1,89,2
1,94,2
1,99,1
1,102,4
1,107,2
1,108,1
1,111,1
1,114,1
1,123,2
1,124,4
1,127,1
1,131,2
1,133,4
1,134,1
1,136,13
1,137,1
1,143,1
1,148,1
1,150,1
1,155,1
1,157,1
1,158,1
1,167,1
1,170,2
1,171,1
1,175,1
1,179,3
1,180,2
1,183,8
1,184,1
1,188,1
1,191,1
1,192,1
1,196,2
1,197,6
2,5,2
2,8,10
2,9,1
2,13,1
2,14,12
2,15,1
2,18,2
2,23,12
2,29,2
2,31,2
2,32,2
2,33,4
2,35,1
2,38,1
2,39,2
2,44,2
2,45,2
2,51,1
2,52,5
2,55,2
2,56,3
2,62,5
2,66,1
2,67,5
2,68,6
2,72,18
2,76,2
2,77,5
2,81,5
2,83,1
2,86,2
2,89,6
2,91,1
2,95,4
2,96,2
2,103,1
2,105,1
2,107,4
2,108,4
2,110,4
2,112,3
2,116,1
2,118,2
2,121,1
2,122,2
2,123,1
2,130,1
2,131,6
2,133,1
2,134,2
2,136,4
2,137,1
2,140,3
2,144,1
2,145,2
2,148,6
2,149,2
2,150,3
2,152,9
2,157,6
2,162,3
2,163,1
2,164,2
2,167,2
2,168,4
2,169,1
2,170,1
2,174,2
2,175,1
2,177,4
2,178,1
2,179,6
2,183,1
2,185,3
2,186,3
2,190,1
2,193,1
2,194,10
2,195,1
2,196,1
2,197,1
2,198,1
3,6,1
3,8,4
3,13,2
3,15,3
3,16,5
3,18,1
3,21,2
3,22,6
3,23,9
3,25,1
3,26,43
3,27,2
3,30,6
3,31,5
3,32,37
3,33,1
3,37,1
3,38,4
3,41,23
3,42,7
3,43,2
3,44,1
3,45,1
3,46,1
3,47,5
3,51,6
3,52,1
3,53,1
3,55,1
3,56,1
3,59,23
3,60,2
3,63,5
3,65,2
3,66,1
3,71,4
3,74,2
3,76,1
3,78,1
3,80,2
3,85,1
3,88,1
3,91,1
3,93,15
3,94,41
3,95,5
3,96,2
3,99,1
3,101,2
3,103,5
3,109,2
3,110,4
3,112,4
3,113,1
3,114,9
3,118,4
3,119,3
3,120,19
3,121,1
3,122,1
3,123,12
3,124,1
3,127,5
3,131,1
3,133,2
3,135,1
3,136,10
3,137,2
3,139,1
3,141,9
