0,4,8
0,18,1
0,23,1
0,26,1
0,27,1
0,31,1
0,36,3
0,38,5
0,40,3
0,41,1
0,42,1
0,44,1
0,56,1
0,69,1
0,72,1
0,78,3
0,79,1
0,81,2
0,84,1
0,87,7
0,93,2
0,95,2
0,107,1
0,114,2
0,120,1
0,123,1
0,124,1
0,136,3
0,140,1
0,141,1
0,143,1
0,150,1
0,151,1
0,158,1
0,161,1
0,174,1
0,183,1
0,188,2
0,190,2
0,197,2
1,4,1
1,31,3
1,38,2
1,40,2
1,52,2
1,59,1
1,66,1
1,71,1
1,102,1
1,124,2
1,133,1
1,138,1
1,150,1
1,152,1
1,169,1
1,175,1
1,178,1
1,183,1
1,184,3
1,192,1
2,15,1
2,18,1
2,31,1
2,33,2
2,39,1
2,44,1
2,52,2
2,55,1
2,56,2
2,59,1
2,61,1
2,67,2
2,68,3
2,72,4
2,76,2
2,81,1
2,88,1
2,95,2
2,99,1
2,103,1
2,105,1
2,107,2
2,123,1
2,130,2
2,150,1
2,157,5
2,161,1
2,162,1
2,175,2
2,182,1
2,194,3
3,8,1
3,13,4
3,15,3
3,18,1
3,21,1
3,23,2
3,26,19
3,28,1
3,31,2
3,38,1
3,40,1
3,41,8
3,42,1
3,43,1
3,47,2
3,51,3
3,52,1
3,59,2
3,65,1
3,80,1
3,93,7
3,94,6
3,95,1
3,107,1
3,112,2
3,118,1
3,119,1
3,120,5
3,123,4
3,126,2
3,127,4
3,136,1
3,137,1
3,141,6
3,150,1
3,152,4
3,156,3
3,172,1
3,176,3
3,180,2
3,183,1
3,193,1
3,194,2
3,196,2
3,197,1
4,5,3
4,6,1
4,11,8
4,12,2
4,14,2
4,16,2
4,20,1
4,23,2
4,25,1
4,26,2
4,29,1
4,30,1
4,36,9
4,38,19
4,40,16
4,43,2
4,44,4
4,47,2
4,49,1
4,52,13
4,54,4
4,57,2
4,59,4
4,61,2
4,64,1
4,69,2
4,73,1
4,76,2
4,77,2
4,78,3
4,79,3
4,81,19
4,82,4
4,84,1
4,85,2
4,86,1
4,87,7
4,88,1
4,89,2
4,101,5
4,103,1
4,106,1
4,109,1
4,114,1
4,119,1
4,124,8
4,125,2
4,126,1
4,130,2
4,133,1
4,136,15
4,138,4
4,139,1
4,140,3
4,141,1
4,143,5
4,144,2
4,147,1
4,148,3
4,149,4
4,150,1
4,152,4
4,157,2
4,160,1
4,164,1
4,166,1
4,168,1
4,169,2
4,174,1
4,175,4
4,178,1
4,179,1
4,180,1
4,181,1
4,186,1
4,189,1
4,191,1
4,195,1
4,197,4
5,11,2
5,18,1
5,38,2
5,40,1
5,52,3
5,77,1
5,81,1
5,82,1
5,84,1
5,85,1
5,123,1
5,133,1
5,136,1
5,138,1
5,140,1
5,152,1
5,164,1
5,175,1
5,188,1
5,190,1
5,191,1
5,193,1
6,8,1
6,20,1
6,43,1
6,82,1
6,114,3
6,124,1
6,125,1
6,126,1
6,133,1
6,136,2
6,157,1
6,178,1
6,181,1
6,192,1
7,9,1
7,17,3
7,18,1
7,23,3
7,31,1
7,45,2
7,55,1
7,56,2
7,76,1
7,77,1
7,80,1
7,89,1
7,98,4
7,100,2
7,104,1
7,108,4
7,130,1
7,137,2
7,157,1
7,163,3
7,169,1
7,173,1
7,174,3
7,177,1
7,182,6
7,187,1
7,198,2
7,199,1
8,10,1
8,12,2
8,13,5
8,14,3
8,16,2
8,17,4
8,18,3
8,21,7
8,22,1
8,23,3
8,24,4
8,25,2
8,26,2
8,28,2
8,29,1
8,31,4
8,32,1
8,34,1
8,35,1
8,38,5
8,40,3
8,41,1
8,43,2
8,45,5
8,46,1
8,48,1
8,50,1
8,51,3
8,52,2
8,53,3
8,55,4
8,56,1
8,58,2
8,59,1
8,62,2
8,63,1
8,64,4
8,67,1
8,69,1
8,70,2
8,72,3
8,73,2
8,74,9
8,75,3
8,76,4
8,77,2
8,78,7
8,79,1
8,80,3
8,81,4
8,84,1
8,87,3
8,88,1
8,90,1
8,91,4
8,94,1
8,95,1
8,96,2
8,98,1
8,100,8
8,102,1
8,104,1
8,105,2
8,106,4
8,108,1
8,110,1
8,112,3
8,113,2
8,114,2
8,115,3
8,116,1
8,117,1
8,118,2
8,121,1
8,123,10
8,124,1
8,125,3
8,129,3
8,130,1
8,131,4
8,132,4
8,134,3
8,135,1
8,136,9
8,137,5
8,140,1
8,142,2
8,143,3
8,144,1
8,145,1
8,147,2
8,149,2
8,150,8
8,152,15
8,153,2
8,154,2
8,155,4
8,157,5
8,159,3
8,160,1
8,161,3
8,162,3
8,163,7
8,164,4
8,165,2
8,166,1
8,167,5
8,168,3
8,169,2
8,170,2
8,171,2
8,172,3
8,173,1
8,174,3
8,175,10
8,176,1
8,179,1
8,180,1
8,181,2
8,182,3
8,183,1
8,184,3
8,185,1
8,186,3
8,187,4
8,188,9
8,189,1
8,193,1
8,194,2
8,195,1
8,196,2
9,23,1
9,77,1
9,78,1
9,100,2
9,134,1
9,169,1
9,173,1
9,175,1
9,176,1
10,31,4
10,50,1
10,59,1
10,64,1
10,75,1
10,78,1
10,115,1
10,123,1
10,124,1
10,136,3
10,139,1
10,170,1
10,174,2
10,175,1
10,181,1
10,188,1
10,195,1
11,12,1
11,13,6
11,14,1
11,16,2
11,17,2
11,21,1
11,23,4
11,26,3
11,32,1
11,38,8
11,40,6
11,43,1
11,52,6
11,54,1
11,55,3
11,59,4
11,61,1
11,62,1
11,65,1
11,68,3
11,70,1
11,77,2
11,80,4
11,81,1
11,87,1
11,89,2
11,91,1
11,94,1
11,95,2
11,99,1
11,101,1
11,107,1
11,113,1
11,117,1
11,122,1
11,123,3
11,126,1
11,130,2
11,131,1
11,133,2
11,135,1
11,136,10
11,137,1
11,139,1
11,140,4
11,146,1
11,150,2
11,152,2
11,161,1
11,165,1
11,166,2
11,168,1
11,172,1
11,174,2
11,175,1
11,178,1
11,183,3
11,191,1
11,197,1
11,198,1
12,31,1
12,52,3
12,74,1
12,77,1
12,81,1
12,107,3
12,129,3
12,136,1
12,150,1
12,152,1
12,164,1
12,168,1
12,170,2
12,179,1
12,193,1
13,15,1
13,16,1
13,23,3
13,24,4
13,26,9
13,29,1
13,31,2
13,32,1
13,33,3
13,41,3
13,44,1
13,47,1
13,52,2
13,55,1
13,56,1
13,59,6
13,63,1
13,74,1
13,77,5
13,86,1
13,91,1
13,93,1
13,95,1
13,108,1
13,110,1
13,118,3
13,121,2
13,122,2
13,123,10
13,131,3
13,135,7
13,136,6
13,137,11
13,146,1
13,152,6
13,163,1
13,165,4
13,167,2
13,172,3
13,187,1
13,191,2
13,193,1
13,194,2
14,23,2
14,35,2
14,38,1
14,39,1
14,40,3
14,52,2
14,56,2
14,58,1
14,59,1
14,62,1
14,72,1
14,76,3
14,81,4
14,88,1
14,89,1
14,92,2
14,102,1
14,116,1
14,130,3
14,133,1
14,136,3
14,138,1
14,139,1
14,140,1
14,143,3
14,144,1
14,148,1
14,149,1
14,151,2
14,152,5
14,157,4
14,158,1
14,168,1
14,169,2
14,175,4
14,177,1
14,178,1
14,179,1
14,189,1
14,194,1
14,195,1
15,16,2
15,18,1
15,23,1
15,26,6
15,38,1
15,41,1
15,42,1
15,44,1
15,45,1
15,51,1
15,62,1
15,71,1
15,77,1
15,78,1
15,94,1
15,96,1
15,103,1
15,104,1
15,110,1
15,113,1
15,119,1
15,125,1
15,126,1
15,136,3
15,140,1
15,141,1
15,150,2
15,151,1
15,152,1
15,156,1
15,159,1
15,174,2
15,175,1
15,176,1
15,186,1
15,191,1
15,196,2
15,198,4
16,18,1
16,23,5
16,26,5
16,29,1
16,36,2
16,38,11
16,41,4
16,43,1
16,44,1
16,45,1
16,46,1
16,51,1
16,52,1
16,55,1
16,59,6
16,71,1
16,73,1
16,77,2
16,78,2
16,80,2
16,81,2
16,82,1
16,85,1
16,87,1
16,91,1
16,99,2
16,102,1
16,114,2
16,125,1
16,127,1
16,129,1
16,132,1
16,133,3
16,136,4
16,138,1
16,139,2
16,141,2
16,147,1
16,150,1
16,151,1
16,152,1
16,157,1
16,166,3
16,168,1
16,172,1
16,174,2
16,176,1
16,179,1
16,180,1
16,181,1
16,184,1
16,187,1
16,188,1
16,191,2
16,197,1
16,198,2
17,18,1
17,23,2
17,24,3
17,27,1
17,28,1
17,29,2
17,31,1
17,33,3
17,38,1
17,45,5
17,46,1
17,47,1
17,52,1
17,53,2
17,55,2
17,56,1
17,64,1
17,68,2
17,70,1
17,74,1
17,77,1
17,79,1
17,80,4
17,96,1
17,98,2
17,100,3
17,104,3
17,107,1
17,108,2
17,114,1
17,123,1
17,126,1
17,131,4
17,132,3
