topic_id_x,topic_id_y,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,152,,,,1.0,3.0,,2.0,2.0,7.0,11.0,6.0
0,153,,,,,,,2.0,1.0,3.0,3.0,2.0
0,154,,,,1.0,,,,,,1.0,
0,155,,,,,,,,1.0,,1.0,
0,156,,,,1.0,,1.0,,1.0,1.0,,1.0
0,157,,,,,,,,,1.0,,1.0
0,158,,,1.0,,,,,1.0,2.0,2.0,3.0
0,159,,,,,,,,1.0,,,
0,161,,,1.0,,,1.0,1.0,1.0,,2.0,
0,162,,,,,,,,,,,1.0
0,164,,,,,,,,,,1.0,
0,165,,,,,,,,,1.0,2.0,
0,166,,,,1.0,,,,,,1.0,
0,168,,,,,1.0,,,2.0,1.0,1.0,
0,169,1.0,,,,,,,1.0,2.0,4.0,
0,172,,,,,,,,1.0,,,
0,174,1.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,4.0
0,175,,,,,1.0,2.0,1.0,,,,
0,176,,,,1.0,,,1.0,,,1.0,
0,178,,1.0,,1.0,2.0,1.0,,5.0,2.0,1.0,3.0
0,179,,,,,,1.0,4.0,1.0,3.0,1.0,1.0
0,180,,1.0,,,,2.0,1.0,,1.0,3.0,7.0
0,182,,,,,,,,,,1.0,
0,183,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,5.0,
0,184,,,,1.0,2.0,1.0,,1.0,3.0,3.0,3.0
0,185,1.0,,,,,1.0,,,2.0,1.0,1.0
0,187,,,,1.0,,,2.0,1.0,1.0,,1.0
0,188,1.0,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0
0,189,,,,,,,1.0,,,,
0,190,,,2.0,,,1.0,2.0,,2.0,2.0,2.0
0,191,,,,,,,,,2.0,1.0,1.0
0,192,,,,,,2.0,1.0,,2.0,1.0,
0,193,,,,,,,2.0,,1.0,1.0,
0,194,,,,,,,,,2.0,2.0,2.0
0,196,,,,1.0,2.0,3.0,3.0,1.0,7.0,9.0,2.0
0,197,1.0,,2.0,,5.0,6.0,7.0,12.0,14.0,22.0,10.0
0,198,,,,1.0,1.0,,1.0,1.0,,2.0,
1,3,,,,,,,,,1.0,,
1,4,2.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,7.0,3.0
1,5,,,,,2.0,,2.0,,,,
1,6,,,,,1.0,,1.0,,,,
1,8,1.0,1.0,,2.0,1.0,,,1.0,2.0,4.0,1.0
1,9,,,,,,,,1.0,,,
1,10,,,,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0
1,11,,,,2.0,,,,,,,
1,14,,,,,,,1.0,,,,
1,15,,,,,,,,,1.0,1.0,
1,16,,,,,,1.0,,,,1.0,
1,18,,,,,,,,,,1.0,
1,23,,,,,,2.0,,,,1.0,1.0
1,24,,,,1.0,,,,,,,
1,25,,,,1.0,,,,3.0,1.0,2.0,2.0
1,26,,,,,,,,,,,1.0
1,29,,,,,,,,,,1.0,
1,30,,,,1.0,3.0,2.0,1.0,1.0,2.0,8.0,2.0
1,31,2.0,4.0,3.0,8.0,15.0,12.0,13.0,12.0,11.0,8.0,5.0
1,34,,,,,,1.0,1.0,,,,
1,36,,,,,,,,,,,1.0
1,37,,,,1.0,,,,,,1.0,
1,38,,4.0,2.0,2.0,3.0,5.0,9.0,3.0,9.0,15.0,6.0
1,39,,,,,,,1.0,,,,
1,40,,4.0,2.0,,2.0,1.0,2.0,,4.0,4.0,2.0
1,41,,,,,,,,,,,1.0
1,43,,,,1.0,,1.0,2.0,,1.0,,2.0
1,44,,,,,,,1.0,1.0,3.0,,
1,45,,,,,,1.0,1.0,,1.0,,
1,48,,,,,,,1.0,,,,
1,52,3.0,1.0,2.0,,4.0,4.0,11.0,6.0,10.0,14.0,6.0
1,54,,,,,,,,1.0,1.0,1.0,2.0
1,55,,,,,1.0,,,,,,
1,57,,,,,1.0,,,,,,
1,58,,,,,2.0,,2.0,1.0,,1.0,
1,59,,1.0,1.0,,1.0,3.0,,4.0,4.0,6.0,2.0
1,60,,,,,,,,,1.0,,1.0
1,61,,,,,,,,,,1.0,
1,63,,,,,,,,,,1.0,
1,64,2.0,,,,5.0,2.0,,3.0,3.0,,2.0
1,66,,1.0,1.0,1.0,,,1.0,,,1.0,
1,68,,,,,,1.0,,1.0,1.0,,
1,69,,,,1.0,,,,,1.0,1.0,
1,71,,,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,1.0
1,72,,,,,,1.0,,,,1.0,
1,73,,,,1.0,,,1.0,1.0,1.0,1.0,
1,75,,1.0,,1.0,,,1.0,1.0,1.0,2.0,
1,76,,,,,,,1.0,,1.0,,
1,77,,,,,,,,,,3.0,2.0
1,78,1.0,1.0,,1.0,,2.0,,,,,
1,79,,,,,1.0,,,,,,
1,80,,,,2.0,,2.0,3.0,2.0,1.0,3.0,
1,81,1.0,1.0,,,1.0,2.0,,1.0,1.0,3.0,
1,82,,,,,4.0,,1.0,,1.0,1.0,1.0
1,85,,,,,,,,,,1.0,
