topic_id_x,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,21.0,5.0,84.0,2.0,3.0,0.0,11.0,0.0,12.0,1.0,0.0,5.0,1.0,2.0,13.0,0.0,6.0,1.0,2.0,1.0,2.0,26.0,1.0,64.0,9.0,7.0,0.0,0.0,36.0,37.0,1.0,1.0,0.0,0.0,16.0,0.0,142.0,0.0,24.0,21.0,3.0,4.0,12.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,27.0,1.0,11.0,0.0,2.0,1.0,10.0,9.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,6.0,7.0,1.0,2.0,2.0,4.0,7.0,13.0,10.0,15.0,12.0,1.0,4.0,0.0,2.0,73.0,4.0,1.0,1.0,1.0,1.0,9.0,23.0,27.0,0.0,0.0,2.0,0.0,5.0,1.0,15.0,1.0,1.0,2.0,0.0,8.0,1.0,4.0,1.0,0.0,3.0,2.0,37.0,3.0,0.0,0.0,7.0,4.0,16.0,1.0,0.0,17.0,21.0,3.0,13.0,9.0,1.0,0.0,0.0,3.0,0.0,4.0,3.0,15.0,155.0,0.0,1.0,2.0,2.0,2.0,1.0,11.0,15.0,0.0,2.0,1.0,1.0,2.0,6.0,1.0,32.0,11.0,2.0,2.0,5.0,2.0,9.0,1.0,0.0,6.0,1.0,0.0,1.0,3.0,2.0,0.0,5.0,8.0,0.0,0.0,1.0,0.0,32.0,4.0,3.0,0.0,16.0,11.0,15.0,0.0,1.0,24.0,14.0,6.0,0.0,6.0,16.0,1.0,11.0,4.0,6.0,4.0,6.0,0.0,28.0,79.0,6.0,0.0
1,0.0,1.0,31.0,4.0,2.0,0.0,13.0,1.0,13.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,0.0,0.0,1.0,20.0,93.0,0.0,0.0,2.0,0.0,1.0,2.0,58.0,1.0,21.0,1.0,0.0,7.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,0.0,5.0,1.0,0.0,1.0,6.0,22.0,2.0,1.0,0.0,1.0,17.0,0.0,5.0,0.0,3.0,3.0,0.0,11.0,2.0,5.0,0.0,7.0,2.0,5.0,5.0,1.0,13.0,10.0,8.0,0.0,0.0,1.0,2.0,0.0,6.0,8.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,23.0,2.0,0.0,1.0,0.0,12.0,1.0,1.0,0.0,2.0,3.0,1.0,8.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,28.0,2.0,1.0,9.0,0.0,1.0,0.0,5.0,1.0,14.0,2.0,4.0,108.0,2.0,3.0,2.0,10.0,0.0,1.0,6.0,1.0,1.0,0.0,1.0,5.0,1.0,16.0,0.0,13.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,12.0,1.0,1.0,1.0,12.0,11.0,0.0,2.0,23.0,10.0,7.0,0.0,0.0,40.0,21.0,4.0,0.0,2.0,5.0,0.0,1.0,3.0,13.0,0.0,0.0,0.0,6.0,26.0,0.0,0.0
2,0.0,1.0,3.0,3.0,0.0,8.0,45.0,8.0,0.0,2.0,0.0,3.0,41.0,7.0,2.0,1.0,6.0,1.0,0.0,3.0,2.0,43.0,1.0,0.0,2.0,1.0,2.0,11.0,0.0,8.0,14.0,26.0,0.0,4.0,0.0,3.0,7.0,11.0,0.0,3.0,0.0,4.0,6.0,4.0,1.0,2.0,3.0,4.0,0.0,9.0,28.0,0.0,0.0,8.0,41.0,0.0,1.0,5.0,0.0,2.0,24.0,1.0,0.0,3.0,1.0,24.0,27.0,0.0,2.0,2.0,93.0,0.0,0.0,0.0,11.0,27.0,1.0,0.0,14.0,11.0,0.0,3.0,1.0,0.0,5.0,0.0,7.0,31.0,1.0,2.0,10.0,0.0,1.0,22.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,9.0,0.0,39.0,23.0,1.0,12.0,1.0,7.0,1.0,5.0,0.0,3.0,1.0,14.0,2.0,0.0,10.0,3.0,24.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,23.0,1.0,4.0,3.0,1.0,51.0,5.0,2.0,6.0,19.0,1.0,1.0,3.0,9.0,11.0,0.0,3.0,20.0,13.0,14.0,6.0,21.0,0.0,6.0,2.0,0.0,33.0,1.0,0.0,0.0,4.0,12.0,13.0,15.0,1.0,0.0,7.0,13.0,1.0,3.0,3.0,0.0,0.0,23.0,14.0,2.0,37.0,2.0,24.0,0.0,2.0,9.0,2.0,0.0,8.0,4.0,0.0,0.0,7.0,1.0,4.0,0.0,1.0,51.0,6.0,7.0,6.0,18.0,0.0
3,0.0,0.0,1.0,0.0,6.0,0.0,40.0,1.0,5.0,0.0,0.0,49.0,0.0,22.0,31.0,1.0,10.0,0.0,0.0,14.0,16.0,37.0,0.0,4.0,265.0,4.0,1.0,1.0,32.0,44.0,205.0,3.0,0.0,0.0,0.0,1.0,20.0,0.0,3.0,160.0,57.0,23.0,2.0,3.0,3.0,47.0,1.0,1.0,1.0,26.0,4.0,2.0,0.0,1.0,3.0,0.0,2.0,137.0,4.0,1.0,1.0,21.0,0.0,17.0,1.0,1.0,3.0,1.0,3.0,16.0,1.0,2.0,2.0,0.0,2.0,10.0,2.0,0.0,11.0,3.0,0.0,2.0,0.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,112.0,195.0,16.0,24.0,0.0,2.0,5.0,1.0,4.0,4.0,14.0,0.0,0.0,1.0,1.0,1.0,2.0,20.0,0.0,29.0,9.0,60.0,0.0,0.0,3.0,25.0,16.0,142.0,6.0,18.0,58.0,2.0,2.0,16.0,34.0,3.0,1.0,0.0,1.0,4.0,6.0,1.0,5.0,62.0,8.0,4.0,5.0,9.0,44.0,4.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,8.0,1.0,34.0,0.0,3.0,6.0,42.0,0.0,0.0,4.0,1.0,0.0,12.0,1.0,3.0,26.0,0.0,3.0,6.0,0.0,2.0,1.0,21.0,0.0,14.0,4.0,51.0,0.0,0.0,4.0,12.0,1.0,1.0,7.0,11.0,1.0,2.0,4.0,8.0,1.0,4.0,18.0,7.0,2.0,42.0,0.0,41.0,55.0,12.0,5.0
4,0.0,0.0,0.0,28.0,5.0,1.0,26.0,2.0,1.0,111.0,12.0,1.0,13.0,4.0,25.0,2.0,14.0,0.0,16.0,1.0,4.0,23.0,4.0,23.0,22.0,2.0,1.0,3.0,41.0,6.0,2.0,1.0,5.0,10.0,101.0,2.0,314.0,1.0,106.0,7.0,4.0,80.0,73.0,2.0,0.0,8.0,0.0,27.0,6.0,5.0,142.0,3.0,74.0,0.0,1.0,20.0,11.0,79.0,5.0,15.0,3.0,7.0,2.0,11.0,2.0,4.0,4.0,25.0,1.0,5.0,8.0,5.0,4.0,18.0,15.0,18.0,21.0,27.0,11.0,166.0,45.0,1.0,9.0,2.0,5.0,40.0,14.0,14.0,0.0,2.0,4.0,6.0,1.0,33.0,1.0,3.0,0.0,50.0,3.0,72.0,8.0,15.0,2.0,12.0,1.0,4.0,4.0,7.0,1.0,4.0,0.0,1.0,28.0,1.0,2.0,0.0,1.0,10.0,1.0,0.0,14.0,8.0,56.0,10.0,23.0,0.0,1.0,0.0,11.0,8.0,0.0,25.0,2.0,27.0,199.0,1.0,58.0,22.0,47.0,15.0,1.0,41.0,24.0,1.0,2.0,8.0,25.0,34.0,37.0,9.0,28.0,4.0,3.0,1.0,3.0,7.0,5.0,7.0,1.0,6.0,5.0,3.0,4.0,3.0,7.0,3.0,11.0,30.0,0.0,2.0,4.0,1.0,36.0,43.0,1.0,0.0,21.0,12.0,9.0,1.0,0.0,4.0,2.0,9.0,4.0,5.0,4.0,24.0,1.0,12.0,10.0,3.0,3.0,3.0,27.0,60.0,12.0,2.0
5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0,3.0,7.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,3.0,2.0,7.0,0.0,0.0,1.0,0.0,20.0,0.0,4.0,0.0,1.0,9.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0,0.0,2.0,0.0,4.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,4.0,7.0,5.0,0.0,1.0,2.0,0.0,1.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,13.0,1.0,0.0,18.0,1.0,5.0,2.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,8.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,5.0,10.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,8.0,3.0,0.0
6,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,2.0,2.0,1.0,0.0,0.0,7.0,19.0,5.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,4.0,5.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,37.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,9.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,26.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,6.0,0.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,30.0,1.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,98.0,3.0,0.0,9.0,1.0,7.0,0.0,5.0,2.0,71.0,35.0,14.0,2.0,5.0,2.0,83.0,21.0,3.0,0.0,2.0,1.0,20.0,1.0,11.0,0.0,68.0,0.0,0.0,0.0,1.0,3.0,12.0,0.0,2.0,1.0,0.0,1.0,34.0,3.0,0.0,6.0,3.0,1.0,7.0,18.0,8.0,1.0,27.0,62.0,0.0,1.0,2.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,12.0,18.0,2.0,8.0,2.0,12.0,0.0,2.0,0.0,3.0,11.0,2.0,0.0,41.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,8.0,2.0,0.0,2.0,3.0,7.0,19.0,90.0,0.0,151.0,4.0,1.0,0.0,69.0,1.0,7.0,10.0,168.0,1.0,1.0,1.0,4.0,19.0,2.0,0.0,2.0,13.0,2.0,0.0,0.0,3.0,1.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,114.0,6.0,0.0,3.0,0.0,38.0,83.0,2.0,1.0,11.0,0.0,3.0,0.0,1.0,21.0,4.0,5.0,0.0,2.0,8.0,0.0,39.0,3.0,0.0,1.0,1.0,8.0,2.0,6.0,1.0,0.0,3.0,87.0,3.0,0.0,1.0,54.0,6.0,6.0,0.0,11.0,10.0,51.0,82.0,2.0,5.0,29.0,0.0,0.0,1.0,0.0,167.0,0.0,0.0,4.0,5.0,7.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,22.0,13.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,60.0,36.0,41.0,142.0,172.0,13.0,16.0,133.0,52.0,19.0,16.0,98.0,8.0,76.0,147.0,98.0,25.0,17.0,49.0,42.0,21.0,270.0,37.0,69.0,25.0,24.0,27.0,43.0,81.0,41.0,59.0,58.0,9.0,45.0,15.0,234.0,53.0,35.0,44.0,6.0,30.0,75.0,76.0,74.0,9.0,132.0,82.0,41.0,28.0,66.0,0.0,5.0,21.0,7.0,76.0,4.0,23.0,89.0,28.0,23.0,59.0,23.0,130.0,27.0,88.0,111.0,44.0,25.0,75.0,16.0,130.0,57.0,12.0,37.0,6.0,15.0,16.0,19.0,22.0,90.0,51.0,106.0,6.0,7.0,8.0,27.0,46.0,25.0,61.0,4.0,100.0,3.0,42.0,10.0,62.0,16.0,114.0,41.0,111.0,4.0,21.0,27.0,41.0,30.0,16.0,44.0,8.0,26.0,72.0,24.0,15.0,30.0,37.0,171.0,9.0,58.0,4.0,81.0,3.0,146.0,36.0,198.0,139.0,15.0,83.0,26.0,260.0,120.0,6.0,20.0,56.0,3.0,153.0,58.0,10.0,127.0,7.0,9.0,23.0,21.0,111.0,11.0,397.0,160.0,14.0,142.0,1.0,199.0,9.0,18.0,68.0,33.0,31.0,124.0,53.0,48.0,30.0,130.0,126.0,26.0,129.0,90.0,48.0,67.0,94.0,191.0,5.0,114.0,57.0,54.0,49.0,24.0,100.0,59.0,62.0,37.0,30.0,39.0,110.0,8.0,14.0,9.0,28.0,12.0,63.0,8.0,41.0,36.0,37.0,14.0
